TK Syllabus Comparison Document,Version:,5
"General Information
This document has been created to support EASA in managing the ECQB content, to ensure alignment with the detailed syllabus and learning objectives as published in ED Decision 2020/018/R. The relevant AMCs are AMC1 FCL.310; FCL.515(b); FCL.615(b); FCL.835(d),  AMC1 ARA.FCL.300(b) and AMC2 ARA.FCL.300(b)). 

Comparison is made with the TK syllabi and LOs as published in the ED Decisions listed below: 
- Amendment 4 to AMC/GM to Part-FCL, EDD 2018/001/R, 
- Amendment 6 to AMC/GM to Part-FCL, EDD 2018/011/R,  
- Amendment 8 to AMC/GM to Part-FCL, EDD 2019/017/R,
- Amendment 10 to AMC/GM to Part-FCL, EDD 2020/018/R.",Date:,1/4/2024
"Change information from version 5 to version 4: 
- Retains the comparison made between the syllabus and LOs published in 2018-2019 (in versions 1 & 2 referred to as the ""new"" syllabus) against those published in 2020. 
- Some ""Source"" information is edited or newly added for specific LOs - this can be identified by filtering for ""5"" on the column ""Entry added/amended in TK v."" Subjects 010, 022, 032, 033, 034, 040, 050, 061, 062, 070, 081, 090 are affected.
- ""Source"" information is provided for ECQB 2024 based on EU Regulations, AMC & GM & ICAO SARPs and Documents published up to mid 2023. The column ""Source/Comment for ECQB 2024"" provides additional information as appropriate on EU Regulations, AMC & GM & ICAO SARPs published up to mid 2023. This affects in particular some Definitions plus the Fuel-related LOs in 031 and 033.",For ECQB release:,ECQB-2024
"Feedback: the Agency welcomes feedback on this TK syllabus comparison from stakeholders via email to ECQB@easa.europa.eu 

Proposals for amendments / improvements to the TK syllabus and LOs should be communicated to the Agency following the ""Rulemaking proposals"" process as described on the Agency website: https://www.easa.europa.eu/document-library/rulemaking-programmes/rulemaking-proposal",,
"Disclaimer 
The TK Syllabus Comparison Document is made available for information purposes only. While every care has been taken in preparing the content of the TK Syllabus Comparison Document to avoid errors, EASA makes no warranty as to the accuracy, completeness or currency of its content. EASA shall not be liable for any kind of damages or other claims or demands incurred as a result of incorrect, insufficient or invalid data, or arising out of or in connection with the use, copying or display of the content, to the extent permitted by European and national laws. The information contained in the Document should not be construed as legal advice.",,
"Contents
The following are covered in individual worksheets:
- Source information
- 010 Air Law 
- 021 Aircraft General Knowledge – Airframe, Systems and Powerplant
- 022 Aircraft General Knowledge - Instrumentation
- 031 Mass & Balance
- 032 Performance – Aeroplanes
- 033 Flight Planning and Monitoring
- 034 Performance – Helicopters
- 040 Human Performance and Limitations
- 050 Meteorology
- 061 General Navigation
- 062 Radio Navigation
- 070 Operational Procedures
- 081 Principles of Flight – Aeroplanes
- 082 Principles of Flight – Helicopters
- 090 Communications
",,
"A standard format has been applied to each sheet. In addition there are filters to allow the information to be sorted in the original sequence, or according to the old or new syllabus structure, and to apply filters relating to the nature of the modification, and the licence/rating type. Each sheet has the following structure, starting from column A: ",,
Index: each row has a unique number. The sequence is primarily based on that of The new syllabus.,,
"2018-2019 syllabus text: based on amendments 4, 6 & 8 AMC & GM to Part-FCL.",,
"2018-2019 syllabus reference: the numbering published in amendments 4, 6, & 8 AMC & GM to Part-FCL is modified to include dots between syllabus levels and to number each LO ",,
2020 syllabus reference: the numbering as published in amendment 10 AMC & GM to Part-FCL is modified to include dots between syllabus levels. ,,
2020 syllabus text: based on amendment 10 AMC & GM to Part-FCL. Differences between the 2018 and 2020 syllabi and LOs are not highlighted.,,
Renumbered: an “x” indicates that there is a difference between the syllabus references. ,,
New: an “x” indicates that the LO is new with amendment 10 AMC & GM to Part-FCL,,
Deleted: an “x” indicates that the LO is not retained in amendment 10 AMC & GM to Part-FCL. ,,
Text unmodified: an “x” indicates that the wording of the text is the same in the two syllabi.,,
"Reworded, intent the same: an “x” indicates that the revised working does not alter the specific issue or depth of knowledge that the candidate is expected to know/understand (e.g. grammatical improvements, abbreviations written out or terms abbreviated). ",,
"Reworded, intent modified: an “x” indicates that a significant change is introduced (e.g. accounting for technological advances and best practices, use of new / modified terms, or a different depth of knowledge is indicated by the key verb, considering GM1 FCL.310; FCL.515(b); FCL.615(b)). ",,
"BK: the “x” is as per the syllabus of amendment 10 AMC & GM to Part-FCL, and indicates that the LO must be taught but is not addressed directly by a dedicated question in the ECQB. These LOs are not the subject of dedicated examination questions, which focus only on the specific subject matter required by the LO, for example, recalling the appropriate unit of measurement to be used. However, student pilots will still be required to assimilate the specific knowledge required by the BK LOs in order to have the ability to answer examination questions based on LOs which target higher levels of understanding in the same subject. These other LOs, themselves, build upon this basic knowledge. The ATOs must ensure that all LOs (including BK LOs) in the syllabus applicable to the course of training being delivered are covered. ",,
"Columns N to U on the licences and instrument ratings: an “x” or 1-3 indicates that the LO applies to this licence/rating, as per the syllabus of amendment 10 AMC & GM to Part-FCL. ",,
"BIR BK: the number 1-3 is as per the syllabus of amendment 10 AMC & GM to Part-FCL. It indicates that the LO applies to the training course for the relevant module(s) of the BIR, but is not addressed directly by a dedicated question in the ECQB.",,
"Source / Comment ECQB 2024: amendment 10 AMC & GM to Part-FCL removed the source information that had been part of the text of many LOs. The source information is instead provided in this Document. It considers EU Regulations and related AMC/GM/CSs, ICAO SARPs and Documents as published to mid 2023. See the sheet ""Source Information"" for further details.",,
Entry added / amended in TK v.: indicates when the entry was added or amended,,
