LO_ID,Subject,Subject_Name,Priority,BK_Only,ECQB_2026_Change,File_Hits,First_File,DB_Rows,Coverage_Status_Suggested,LO_Text
010.01.01.01.01,010,Air Law and ATC Procedures,LOW,Y,,4,agent_tasklist.md,0,DRAFT_DONE,"Explain the circumstances that led to the establishment of the Convention on International Civil Aviation, Chicago, 7 December 1944."
010.01.01.02.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"Recall the general contents of relevant parts of the following chapters: general principles and application of the Convention; flight over territory of Contracting States; nationality of aircraft; international standards and recommended practices (SARPs), especially notification of differences and validity of endorsed certificates and licences."
010.01.01.02.02,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,General principles - Describe the application of the following terms in civil aviation: sovereignty; territory and high seas according to the UN Convention on the High Seas.
010.01.01.02.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the following terms and how they apply to international air traffic: right of non-scheduled flight (including the two technical freedoms of the air); scheduled air services; cabotage; landing at customs airports; Rules of the Air; search of aircraft.
010.01.01.02.04,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the duties of Contracting States in relation to: documents carried on board the aircraft: certificate of registration; certificates of airworthiness; licences of personnel; recognition of certificates and licences; cargo restrictions; photographic apparatus.
010.01.01.03.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the objectives of ICAO.
010.01.01.03.02,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"Recognise the organisation and duties of the ICAO Assembly, Council and Air Navigation Commission (ANC)."
010.01.01.03.03,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the annexes to the Convention.
010.01.02.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the two technical freedoms of the air.
010.01.02.02.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the three commercial freedoms of the air.
010.01.02.03.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the measures and actions to be taken by the pilot-in-command (PIC) of an aircraft in order to suppress unlawful acts against the safety of the aircraft.
010.01.02.05.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the legal significance of the issue of a passenger ticket or of baggage/cargo documents (that the issue is a form of contract).
010.01.02.05.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the consequences for an airline or the PIC when a document of carriage is not issued (that the contract is unaffected).
010.01.02.05.03,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain the consequences for an airline operator of Regulation (EC) No 261/2004 on passenger rights in the event of delay, cancellation or denial of boarding."
010.01.02.05.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"Explain the liability limit in relation to destruction, loss, damage or delay of baggage."
010.01.03.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the objectives of IATA.
010.01.04.01.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the objectives of EASA.
010.01.04.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the role of EASA in European civil aviation.
010.01.04.01.03,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State that the structure of the regulatory material related to EASA involves: hard law (regulations, delegated acts, implementing acts, and implementing rules); soft law (certification specifications, acceptable means of compliance, and guidance material)."
010.01.04.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the meaning of the terminology associated with the structure of the regulatory material related to EASA, specifically: regulations, delegated acts, implementing acts, and implementing rules, as applicable until 11 September 2023; and certification specifications, acceptable means of compliance, and guidance material."
010.01.04.02.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Describe the Single European Sky (SES) regulations.
010.02.02.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the issuing authority of a CofA.
010.02.02.01.02,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State the necessity to hold a CofA.
010.02.02.01.03,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Explain the prerequisites for the issue of a CofA according to Commission Regulation (EU) No 748/2012.
010.02.02.01.04,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,State who shall determine an aircraft’s continuing airworthiness.
010.02.02.01.05,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,Describe how a CofA can be renewed or may remain valid.
010.02.03.01.01,010,Air Law and ATC Procedures,LOW,Y,,3,agent_tasklist.md,0,DRAFT_DONE,Recall the definition of the following terms: aircraft; heavier-than-air aircraft; State of Registry.
010.02.04.01.01,010,Air Law and ATC Procedures,MED,N,,3,agent_tasklist.md,0,DRAFT_DONE,"State the location of nationality marks, common marks and registration marks."
